amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,31,0,0,zscore,0.93,0.12199327782390171,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
11,41,0,0,zscore,0.93,0.1779191277909185,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
13,27,0,0,zscore,0.93,0.13072911076488192,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
9,51,0,0,zscore,0.93,0.27345873884227734,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
13,31,0,0,zscore,0.93,0.15016700151593526,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
11,27,0,0,zscore,0.93,0.1192431672889265,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
9,27,0,0,zscore,0.93,0.0997100613718249,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
13,41,0,0,zscore,0.93,0.19886756938755024,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
11,21,0,0,zscore,0.93,0.11076346998614411,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
7,41,0,0,zscore,0.93,0.16330996426453878,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
11,31,0,0,zscore,0.93,0.12598257393169726,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
13,51,0,0,zscore,0.93,0.3283635343307058,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
7,27,0,0,zscore,0.93,0.08501765527443225,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
9,41,0,0,zscore,0.93,0.1769248223796369,0.3235294117647059,1.0,0.48888888888888893,11,23,0,34
11,21,0,3,zscore,0.98,1.3440786432696443,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,3,amplify,0.98,3.1853344680674516,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,3,zscore,0.98,1.5512933619047145,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,27,0,3,none,0.98,2.845068864692739,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,27,0,3,amplify,0.98,2.507070798809498,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,21,0,0,zscore,0.98,0.626607122943331,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,27,0,3,zscore,0.98,1.3491711362040482,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,27,0,3,zscore,0.98,1.4428558353733598,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,27,0,3,none,0.98,2.9277128803315886,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,27,0,3,amplify,0.98,2.739072584578536,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,27,0,3,none,0.98,2.737794048859728,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,27,0,3,amplify,0.98,2.765052802478687,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,27,0,3,zscore,0.98,1.4104280667369198,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,3,none,0.98,3.1448679771230816,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,41,0,0,zscore,0.98,0.6021073679976275,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,31,0,3,zscore,0.98,1.5309055482317864,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,31,0,3,none,0.98,3.236030194726764,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,0,3,none,0.98,3.0251486008459834,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,21,0,3,zscore,0.98,1.406286388294839,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,0,3,zscore,0.98,1.630705167755654,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,0,3,amplify,0.98,3.110947920892561,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,41,0,5,zscore,0.98,1.0481159894810923,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,0,0,zscore,0.98,0.9331072505167244,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,3,amplify,0.98,3.2148522763820333,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,21,0,3,zscore,0.98,1.337896889173618,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,31,0,3,amplify,0.98,2.7557394362585867,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
11,31,0,3,none,0.98,3.025693818350919,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,0,3,zscore,0.98,1.7717074253410197,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,31,0,3,zscore,0.98,1.499313663565431,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
7,31,0,3,none,0.98,3.021747567692188,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
13,51,0,3,amplify,0.98,3.297827677119927,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,3,zscore,0.98,1.648422173083217,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
9,51,0,3,none,0.98,3.196730466094772,0.5,0.45454545454545453,0.47619047619047616,5,5,6,10
