amp_window,score_window,diff_order,smooth,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
5,71,0,3,0.97,2.5918096408673894,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,27,2,0,0.97,1.9853363210083668,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,27,0,3,0.97,2.3205565807027035,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,21,0,3,0.97,2.072165913821074,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,27,0,3,0.97,2.167134557634629,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
7,71,2,0,0.97,2.8999403618759945,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,71,0,7,0.97,2.399583857109422,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,71,2,0,0.97,2.7407960845688693,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,51,0,3,0.97,2.734153440234211,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
9,27,0,3,0.97,2.330601789063674,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,41,1,0,0.97,2.4540976140261836,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,51,0,7,0.97,2.494719069000161,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
5,31,0,3,0.97,2.361107405178984,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
21,41,0,3,0.97,2.753960645436725,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,41,0,0,0.97,2.5506872567484873,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,41,0,3,0.97,2.6314551891757283,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
21,71,0,7,0.97,2.8545070565411037,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,41,0,7,0.97,2.220101275163451,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
21,71,0,3,0.97,3.3153134898849794,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
21,41,0,7,0.97,2.4439480813715315,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
11,27,2,0,0.97,2.168963387348773,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
9,31,0,3,0.97,2.3673565843965996,0.3333333333333333,0.45454545454545453,0.3846153846153846,5,10,6,15
