amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,27,1,0.94,1.6476048859821493,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
9,21,0,0.94,1.3320052080065634,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
3,31,1,0.9,1.1445176197286548,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
3,21,0,0.94,1.3191655069077135,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
7,27,0,0.9,1.2671252335474525,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
7,21,1,0.94,1.3613220936987815,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
5,31,1,0.9,1.2155514184958516,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
3,27,0,0.94,1.5376511546316578,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
3,27,1,0.9,1.0955151937047385,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
7,21,0,0.94,1.3495106459915895,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
5,27,0,0.9,1.2965094020621788,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
9,27,1,0.9,1.1970460218039238,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
7,27,1,0.9,1.0592917971315088,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
3,21,1,0.94,1.4733701881471204,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
9,21,1,0.94,1.4944546742871192,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
5,21,0,0.94,1.3904235420166902,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
9,31,1,0.9,1.2187429858261527,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
5,27,1,0.9,1.1934168053211773,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
5,21,1,0.94,1.4025667365281171,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
11,21,1,0.92,1.2337673427327562,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
7,21,1,0.92,1.1237818005879985,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
9,21,0,0.92,1.2452027329133053,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
7,21,0,0.92,1.1635493054728128,0.1282051282051282,0.45454545454545453,0.19999999999999996,5,34,6,39
