amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,15,0.9,0.965778567372646,0.08163265306122448,0.11764705882352941,0.09638554216867469,4,45,30,49
11,11,0.9,0.9173020125887316,0.08163265306122448,0.11764705882352941,0.09638554216867469,4,45,30,49
11,15,0.9,1.0390783112679882,0.08163265306122448,0.11764705882352941,0.09638554216867469,4,45,30,49
9,15,0.94,1.2390413525328245,0.10344827586206896,0.08823529411764706,0.09523809523809523,3,26,31,29
11,15,0.94,1.267189273619685,0.10344827586206896,0.08823529411764706,0.09523809523809523,3,26,31,29
9,11,0.85,0.7248723431555972,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
5,11,0.85,0.7874259641407226,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
11,11,0.85,0.7018042396780659,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
9,15,0.85,0.7372967613002287,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
3,11,0.85,0.7716245395257102,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
7,15,0.85,0.7514221408249909,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
7,11,0.85,0.742232219876459,0.0684931506849315,0.14705882352941177,0.09345794392523364,5,68,29,73
9,11,0.8,0.5578706664106642,0.061855670103092786,0.17647058823529413,0.0916030534351145,6,91,28,97
9,7,0.8,0.5979440496398607,0.061855670103092786,0.17647058823529413,0.0916030534351145,6,91,28,97
5,21,0.98,1.777836517063754,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
11,21,0.98,1.8659430321794646,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
7,27,0.98,2.014344600126063,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
3,21,0.98,1.8021801687718495,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
7,21,0.98,1.8606201254135089,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
3,27,0.98,2.0810242958477088,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
9,21,0.98,1.7768689656518664,0.2,0.058823529411764705,0.0909090909090909,2,8,32,10
11,15,0.88,0.8733974206916518,0.06896551724137931,0.11764705882352941,0.08695652173913043,4,54,30,58
5,11,0.88,0.8751652894886641,0.06896551724137931,0.11764705882352941,0.08695652173913043,4,54,30,58
11,7,0.88,0.9236704796115567,0.06896551724137931,0.11764705882352941,0.08695652173913043,4,54,30,58
3,11,0.88,0.8611016436026226,0.06896551724137931,0.11764705882352941,0.08695652173913043,4,54,30,58
11,11,0.92,1.0483295663335273,0.07692307692307693,0.08823529411764706,0.0821917808219178,3,36,31,39
11,7,0.92,1.088850684418343,0.07692307692307693,0.08823529411764706,0.0821917808219178,3,36,31,39
9,11,0.92,1.0004044677564228,0.07692307692307693,0.08823529411764706,0.0821917808219178,3,36,31,39
7,15,0.92,1.0936560691948995,0.07692307692307693,0.08823529411764706,0.0821917808219178,3,36,31,39
11,21,0.97,1.7177324013057218,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
5,21,0.97,1.600879782682245,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
7,15,0.97,1.444082561836976,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
3,15,0.97,1.3858129771361716,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
11,11,0.97,1.4985578462797504,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
3,21,0.97,1.5813139871903688,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
9,21,0.97,1.595153319898693,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
7,21,0.97,1.5476287119720842,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
11,7,0.97,1.5569808080391796,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
9,7,0.97,1.5075212891459187,0.13333333333333333,0.058823529411764705,0.0816326530612245,2,13,32,15
5,11,0.8,0.5553471011883764,0.05154639175257732,0.14705882352941177,0.07633587786259541,5,92,29,97
3,11,0.8,0.583392346522508,0.05154639175257732,0.14705882352941177,0.07633587786259541,5,92,29,97
7,11,0.8,0.580086786117064,0.05154639175257732,0.14705882352941177,0.07633587786259541,5,92,29,97
7,7,0.8,0.6080669870877565,0.05154639175257732,0.14705882352941177,0.07633587786259541,5,92,29,97
11,11,0.96,1.4147801963177495,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
9,11,0.96,1.2597986667331025,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
9,15,0.96,1.4303292861550283,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
3,15,0.96,1.3201109138629854,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
11,15,0.96,1.444211817068073,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
11,7,0.96,1.4376148240111997,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
7,11,0.96,1.2262460910658783,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
5,15,0.96,1.4098779242379533,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
5,21,0.96,1.5278562463596135,0.1,0.058823529411764705,0.07407407407407408,2,18,32,20
